video_path,annotation_path,feature_path,frames,segments,labels,boundaries,video_id
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B001_capture1.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B001.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B001_capture1.npy,1735,"[{'start_frame': 45, 'end_frame': 84, 'phase': 'G12', 'label': 11}, {'start_frame': 86, 'end_frame': 184, 'phase': 'G13', 'label': 12}, {'start_frame': 186, 'end_frame': 290, 'phase': 'G13', 'label': 12}, {'start_frame': 292, 'end_frame': 368, 'phase': 'G14', 'label': 13}, {'start_frame': 370, 'end_frame': 782, 'phase': 'G15', 'label': 14}, {'start_frame': 784, 'end_frame': 1258, 'phase': 'G12', 'label': 11}, {'start_frame': 1260, 'end_frame': 1328, 'phase': 'G13', 'label': 12}, {'start_frame': 1330, 'end_frame': 1486, 'phase': 'G14', 'label': 13}, {'start_frame': 1488, 'end_frame': 1625, 'phase': 'G15', 'label': 14}, {'start_frame': 1627, 'end_frame': 1734, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B001_capture1.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B001_capture1.npy,Knot_Tying_B001_capture1
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B001_capture2.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B001.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B001_capture2.npy,1735,"[{'start_frame': 45, 'end_frame': 84, 'phase': 'G12', 'label': 11}, {'start_frame': 86, 'end_frame': 184, 'phase': 'G13', 'label': 12}, {'start_frame': 186, 'end_frame': 290, 'phase': 'G13', 'label': 12}, {'start_frame': 292, 'end_frame': 368, 'phase': 'G14', 'label': 13}, {'start_frame': 370, 'end_frame': 782, 'phase': 'G15', 'label': 14}, {'start_frame': 784, 'end_frame': 1258, 'phase': 'G12', 'label': 11}, {'start_frame': 1260, 'end_frame': 1328, 'phase': 'G13', 'label': 12}, {'start_frame': 1330, 'end_frame': 1486, 'phase': 'G14', 'label': 13}, {'start_frame': 1488, 'end_frame': 1625, 'phase': 'G15', 'label': 14}, {'start_frame': 1627, 'end_frame': 1734, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B001_capture2.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B001_capture2.npy,Knot_Tying_B001_capture2
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B002_capture1.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B002.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B002_capture1.npy,1260,"[{'start_frame': 37, 'end_frame': 158, 'phase': 'G12', 'label': 11}, {'start_frame': 160, 'end_frame': 253, 'phase': 'G13', 'label': 12}, {'start_frame': 255, 'end_frame': 308, 'phase': 'G14', 'label': 13}, {'start_frame': 310, 'end_frame': 658, 'phase': 'G15', 'label': 14}, {'start_frame': 660, 'end_frame': 815, 'phase': 'G12', 'label': 11}, {'start_frame': 817, 'end_frame': 1001, 'phase': 'G13', 'label': 12}, {'start_frame': 1003, 'end_frame': 1022, 'phase': 'G14', 'label': 13}, {'start_frame': 1024, 'end_frame': 1198, 'phase': 'G15', 'label': 14}, {'start_frame': 1200, 'end_frame': 1259, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B002_capture1.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B002_capture1.npy,Knot_Tying_B002_capture1
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B002_capture2.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B002.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B002_capture2.npy,1260,"[{'start_frame': 37, 'end_frame': 158, 'phase': 'G12', 'label': 11}, {'start_frame': 160, 'end_frame': 253, 'phase': 'G13', 'label': 12}, {'start_frame': 255, 'end_frame': 308, 'phase': 'G14', 'label': 13}, {'start_frame': 310, 'end_frame': 658, 'phase': 'G15', 'label': 14}, {'start_frame': 660, 'end_frame': 815, 'phase': 'G12', 'label': 11}, {'start_frame': 817, 'end_frame': 1001, 'phase': 'G13', 'label': 12}, {'start_frame': 1003, 'end_frame': 1022, 'phase': 'G14', 'label': 13}, {'start_frame': 1024, 'end_frame': 1198, 'phase': 'G15', 'label': 14}, {'start_frame': 1200, 'end_frame': 1259, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B002_capture2.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B002_capture2.npy,Knot_Tying_B002_capture2
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B003_capture1.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B003.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B003_capture1.npy,1355,"[{'start_frame': 8, 'end_frame': 131, 'phase': 'G12', 'label': 11}, {'start_frame': 133, 'end_frame': 229, 'phase': 'G13', 'label': 12}, {'start_frame': 231, 'end_frame': 312, 'phase': 'G14', 'label': 13}, {'start_frame': 314, 'end_frame': 742, 'phase': 'G15', 'label': 14}, {'start_frame': 744, 'end_frame': 842, 'phase': 'G12', 'label': 11}, {'start_frame': 844, 'end_frame': 953, 'phase': 'G13', 'label': 12}, {'start_frame': 955, 'end_frame': 1106, 'phase': 'G14', 'label': 13}, {'start_frame': 1108, 'end_frame': 1285, 'phase': 'G15', 'label': 14}, {'start_frame': 1287, 'end_frame': 1354, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B003_capture1.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B003_capture1.npy,Knot_Tying_B003_capture1
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B003_capture2.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B003.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B003_capture2.npy,1355,"[{'start_frame': 8, 'end_frame': 131, 'phase': 'G12', 'label': 11}, {'start_frame': 133, 'end_frame': 229, 'phase': 'G13', 'label': 12}, {'start_frame': 231, 'end_frame': 312, 'phase': 'G14', 'label': 13}, {'start_frame': 314, 'end_frame': 742, 'phase': 'G15', 'label': 14}, {'start_frame': 744, 'end_frame': 842, 'phase': 'G12', 'label': 11}, {'start_frame': 844, 'end_frame': 953, 'phase': 'G13', 'label': 12}, {'start_frame': 955, 'end_frame': 1106, 'phase': 'G14', 'label': 13}, {'start_frame': 1108, 'end_frame': 1285, 'phase': 'G15', 'label': 14}, {'start_frame': 1287, 'end_frame': 1354, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B003_capture2.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B003_capture2.npy,Knot_Tying_B003_capture2
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B004_capture1.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B004.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B004_capture1.npy,1820,"[{'start_frame': 55, 'end_frame': 317, 'phase': 'G12', 'label': 11}, {'start_frame': 319, 'end_frame': 584, 'phase': 'G13', 'label': 12}, {'start_frame': 586, 'end_frame': 644, 'phase': 'G14', 'label': 13}, {'start_frame': 646, 'end_frame': 807, 'phase': 'G15', 'label': 14}, {'start_frame': 809, 'end_frame': 1267, 'phase': 'G12', 'label': 11}, {'start_frame': 1269, 'end_frame': 1450, 'phase': 'G13', 'label': 12}, {'start_frame': 1452, 'end_frame': 1538, 'phase': 'G14', 'label': 13}, {'start_frame': 1540, 'end_frame': 1636, 'phase': 'G15', 'label': 14}, {'start_frame': 1790, 'end_frame': 1819, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B004_capture1.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B004_capture1.npy,Knot_Tying_B004_capture1
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_B004_capture2.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_B004.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_B004_capture2.npy,1820,"[{'start_frame': 55, 'end_frame': 317, 'phase': 'G12', 'label': 11}, {'start_frame': 319, 'end_frame': 584, 'phase': 'G13', 'label': 12}, {'start_frame': 586, 'end_frame': 644, 'phase': 'G14', 'label': 13}, {'start_frame': 646, 'end_frame': 807, 'phase': 'G15', 'label': 14}, {'start_frame': 809, 'end_frame': 1267, 'phase': 'G12', 'label': 11}, {'start_frame': 1269, 'end_frame': 1450, 'phase': 'G13', 'label': 12}, {'start_frame': 1452, 'end_frame': 1538, 'phase': 'G14', 'label': 13}, {'start_frame': 1540, 'end_frame': 1636, 'phase': 'G15', 'label': 14}, {'start_frame': 1790, 'end_frame': 1819, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_B004_capture2.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_B004_capture2.npy,Knot_Tying_B004_capture2
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_C001_capture1.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_C001.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_C001_capture1.npy,1227,"[{'start_frame': 37, 'end_frame': 133, 'phase': 'G12', 'label': 11}, {'start_frame': 135, 'end_frame': 159, 'phase': 'G13', 'label': 12}, {'start_frame': 161, 'end_frame': 326, 'phase': 'G14', 'label': 13}, {'start_frame': 328, 'end_frame': 608, 'phase': 'G15', 'label': 14}, {'start_frame': 610, 'end_frame': 886, 'phase': 'G12', 'label': 11}, {'start_frame': 888, 'end_frame': 933, 'phase': 'G13', 'label': 12}, {'start_frame': 935, 'end_frame': 998, 'phase': 'G14', 'label': 13}, {'start_frame': 1000, 'end_frame': 1138, 'phase': 'G15', 'label': 14}, {'start_frame': 1140, 'end_frame': 1226, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_C001_capture1.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_C001_capture1.npy,Knot_Tying_C001_capture1
/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/video/Knot_Tying_C001_capture2.avi,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/transcriptions/Knot_Tying_C001.txt,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/features/Knot_Tying_C001_capture2.npy,1227,"[{'start_frame': 37, 'end_frame': 133, 'phase': 'G12', 'label': 11}, {'start_frame': 135, 'end_frame': 159, 'phase': 'G13', 'label': 12}, {'start_frame': 161, 'end_frame': 326, 'phase': 'G14', 'label': 13}, {'start_frame': 328, 'end_frame': 608, 'phase': 'G15', 'label': 14}, {'start_frame': 610, 'end_frame': 886, 'phase': 'G12', 'label': 11}, {'start_frame': 888, 'end_frame': 933, 'phase': 'G13', 'label': 12}, {'start_frame': 935, 'end_frame': 998, 'phase': 'G14', 'label': 13}, {'start_frame': 1000, 'end_frame': 1138, 'phase': 'G15', 'label': 14}, {'start_frame': 1140, 'end_frame': 1226, 'phase': 'G11', 'label': 10}]",/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/labels/1_Knot_Tying_C001_capture2.npy,/Users/khoedjarahman/Dropbox/Datasets/jigsaw/jigsaw/jigsaw_features/Knot_Tying/boundaries/1_Knot_Tying_C001_capture2.npy,Knot_Tying_C001_capture2
